Event_Date,Over3,Over4,Over5,Over6
1974.611,0,0,0,0
1974.6137,0,0,0,0
1974.6164,0,0,0,0
1974.6192,0,0,0,0
1974.6219,0,0,0,0
1974.6247,0,0,0,0
1974.6274,0,0,0,0
1974.6301,0,0,0,0
1974.6329,0,0,0,0
1974.6356,0,0,0,0
1974.6384,0,0,0,0
1974.6411,0,0,0,0
1974.6438,0,0,0,0
1974.6466,0,0,0,0
1974.6493,0,0,0,0
1974.6521,0,0,0,0
1974.6548,0,0,0,0
1974.6575,0,0,0,0
1974.6603,0,0,0,0
1974.663,0,0,0,0
1974.6658,0,0,0,0
1974.6685,0,0,0,0
1974.6712,0,0,0,0
1974.674,0,0,0,0
1974.6767,0,0,0,0
1974.6795,0,0,0,0
1974.6822,0,0,0,0
1974.6849,0,0,0,0
1974.6877,0,0,0,0
1974.6904,0,0,0,0
1974.6932,0,0,0,0
1974.6959,0,0,0,0
1974.6986,0,0,0,0
1974.7014,0,0,0,0
1974.7041,0,0,0,0
1974.7068,0,0,0,0
1974.7096,0,0,0,0
1974.7123,0,0,0,0
1974.7151,0,0,0,0
1974.7178,0,0,0,0
1974.7205,0,0,0,0
1974.7233,0,0,0,0
1974.726,0,0,0,0
1974.7288,0,0,0,0
1974.7315,0,0,0,0
1974.7342,0,0,0,0
1974.737,0,0,0,0
1974.7397,0,0,0,0
1974.7425,0,0,0,0
1974.7452,0,0,0,0
1974.7479,0,0,0,0
1974.7507,0,0,0,0
1974.7534,0,0,0,0
1974.7562,0,0,0,0
1974.7589,0,0,0,0
1974.7616,0,0,0,0
1974.7644,0,0,0,0
1974.7671,0,0,0,0
1974.7699,0,0,0,0
1974.7726,0,0,0,0
1974.7753,0,0,0,0
1974.7781,0,0,0,0
1974.7808,0,0,0,0
1974.7836,0,0,0,0
1974.7863,0,0,0,0
1974.789,0,0,0,0
1974.7918,0,0,0,0
1974.7945,0,0,0,0
1974.7973,0,0,0,0
1974.8,0,0,0,0
1974.8027,0,0,0,0
1974.8055,0,0,0,0
1974.8082,0,0,0,0
1974.811,0,0,0,0
1974.8137,0,0,0,0
1974.8164,0,0,0,0
1974.8192,0,0,0,0
1974.8219,0,0,0,0
1974.8247,0,0,0,0
1974.8274,0,0,0,0
1974.8301,0,0,0,0
1974.8329,0,0,0,0
1974.8356,0,0,0,0
1974.8384,0,0,0,0
1974.8411,0,0,0,0
1974.8438,0,0,0,0
1974.8466,0,0,0,0
1974.8493,0,0,0,0
1974.8521,0,0,0,0
1974.8548,0,0,0,0
1974.8575,0,0,0,0
1974.8603,0,0,0,0
1974.863,0,0,0,0
1974.8658,0,0,0,0
1974.8685,0,0,0,0
1974.8712,0,0,0,0
1974.874,0,0,0,0
1974.8767,0,0,0,0
1974.8795,0,0,0,0
1974.8822,0,0,0,0
1974.8849,0,0,0,0
1974.8877,0,0,0,0
1974.8904,0,0,0,0
1974.8932,0,0,0,0
1974.8959,0,0,0,0
1974.8986,0,0,0,0
1974.9014,0,0,0,0
1974.9041,0,0,0,0
1974.9068,0,0,0,0
1974.9096,0,0,0,0
1974.9123,0,0,0,0
1974.9151,0,0,0,0
1974.9178,0,0,0,0
1974.9205,0,0,0,0
1974.9233,0,0,0,0
1974.926,0,0,0,0
1974.9288,0,0,0,0
1974.9315,0,0,0,0
1974.9342,0,0,0,0
1974.937,0,0,0,0
1974.9397,0,0,0,0
1974.9425,0,0,0,0
1974.9452,0,0,0,0
1974.9479,0,0,0,0
1974.9507,0,0,0,0
1974.9534,0,0,0,0
1974.9562,0,0,0,0
1974.9589,0,0,0,0
1974.9616,0,0,0,0
1974.9644,0,0,0,0
1974.9671,0,0,0,0
1974.9699,0,0,0,0
1974.9726,0,0,0,0
1974.9753,0,0,0,0
1974.9781,0,0,0,0
1974.9808,0,0,0,0
1974.9836,0,0,0,0
1974.9863,0,0,0,0
1974.989,0,0,0,0
1974.9918,0,0,0,0
1974.9945,0,0,0,0
1974.9973,0,0,0,0
1975,0,0,0,0
1975.0027,0,0,0,0
1975.0055,0,0,0,0
1975.0082,0,0,0,0
1975.011,0,0,0,0
1975.0137,0,0,0,0
1975.0164,0,0,0,0
1975.0192,0,0,0,0
1975.0219,0,0,0,0
1975.0247,0,0,0,0
1975.0274,0,0,0,0
1975.0301,0,0,0,0
1975.0329,0,0,0,0
1975.0356,0,0,0,0
1975.0384,0,0,0,0
1975.0411,0,0,0,0
1975.0438,0,0,0,0
1975.0466,0,0,0,0
1975.0493,0,0,0,0
1975.0521,0,0,0,0
1975.0548,0,0,0,0
1975.0575,0,0,0,0
1975.0603,0,0,0,0
1975.063,0,0,0,0
1975.0658,0,0,0,0
1975.0685,0,0,0,0
1975.0712,0,0,0,0
1975.074,0,0,0,0
1975.0767,0,0,0,0
1975.0795,0,0,0,0
1975.0822,0,0,0,0
1975.0849,0,0,0,0
1975.0877,0,0,0,0
1975.0904,0,0,0,0
1975.0932,0,0,0,0
1975.0959,0,0,0,0
1975.0986,0,0,0,0
1975.1014,0,0,0,0
1975.1041,0,0,0,0
